name,rating,position,nation,team,pac,sho,pas,dri,def,phy
L. Messi,91,CAM,Argentina,Paris Saint-Germain,81,89,90,94,34,64
K. Benzema,91,CF,France,Real Madrid CF,80,88,83,87,39,78
R. Lewandowski,91,ST,Poland,FC Barcelona,75,91,79,86,44,83
K. De Bruyne,91,CM,Belgium,Manchester City,74,88,93,87,64,77
K. Mbappé,91,ST,France,Paris Saint-Germain,97,89,80,92,36,76
M. Salah,90,RW,Egypt,Liverpool,90,89,82,90,45,75
T. Courtois,90,GK,Belgium,Real Madrid CF,84,89,75,90,46,89
M. Neuer,90,GK,Germany,FC Bayern München,87,88,91,88,56,91
Cristiano Ronaldo,90,ST,Portugal,Manchester United,81,92,78,85,34,75
V. van Dijk,90,CB,Netherlands,Liverpool,81,60,71,72,91,86
H. Kane,89,ST,England,Tottenham Hotspur,68,91,83,82,47,82
Neymar Jr,89,LW,Brazil,Paris Saint-Germain,87,83,85,93,37,61
H. Son,89,LW,Korea Republic,Tottenham Hotspur,88,89,82,86,42,69
Casemiro,89,CDM,Brazil,Manchester United,63,73,75,72,87,90
J. Oblak,89,GK,Slovenia,Atlético de Madrid,86,90,78,89,49,87
S. Mané,89,LM,Senegal,FC Bayern München,90,83,80,88,44,77
Ederson,89,GK,Brazil,Manchester City,87,82,93,88,64,88
J. Kimmich,89,CDM,Germany,FC Bayern München,68,72,87,84,83,79
Alisson,89,GK,Brazil,Liverpool,86,85,85,89,54,90
N. Kanté,89,CDM,France,Chelsea,72,66,74,81,87,82
Rúben Dias,88,CB,Portugal,Manchester City,63,39,66,68,88,88
E. Haaland,88,ST,Norway,Manchester City,89,91,65,80,49,87
G. Donnarumma,88,GK,Italy,Paris Saint-Germain,90,83,79,89,52,85
Bernardo Silva,88,CAM,Portugal,Manchester City,77,78,84,92,61,68
João Cancelo,88,LB,Portugal,Manchester City,85,73,85,85,81,73
Marquinhos,88,CB,Brazil,Paris Saint-Germain,79,56,75,74,89,80
K. Navas,88,GK,Costa Rica,Paris Saint-Germain,89,84,75,89,54,87
M. ter Stegen,88,GK,Germany,FC Barcelona,86,85,87,90,47,85
T. Kroos,88,CM,Germany,Real Madrid CF,53,81,90,81,71,68
L. Modrić,88,CM,Croatia,Real Madrid CF,73,76,89,88,72,66
A. Rüdiger,87,CB,Germany,Real Madrid CF,82,53,71,67,86,85
Rodri,87,CDM,Spain,Manchester City,58,72,78,79,83,84
Fabinho,87,CDM,Brazil,Liverpool,66,69,78,77,86,83
H. Lloris,87,GK,France,Tottenham Hotspur,88,83,74,88,61,84
T. Müller,87,CAM,Germany,FC Bayern München,69,84,83,80,56,71
De Gea,87,GK,Spain,Manchester United,88,80,76,89,51,84
M. Verratti,87,CM,Italy,Paris Saint-Germain,60,61,87,91,79,66
M. Maignan,87,GK,France,AC Milan,85,82,85,89,51,85
T. Alexander-Arnold,87,CM,England,Liverpool,76,69,89,80,80,73
A. Robertson,87,LB,Scotland,Liverpool,80,61,81,81,82,76
K. Koulibaly,87,CB,Senegal,Chelsea,82,33,59,68,88,85
L. Goretzka,87,CM,Germany,FC Bayern München,78,82,82,83,81,86
F. de Jong,87,CM,Netherlands,FC Barcelona,82,69,86,87,77,78
Thiago,86,CM,Spain,Liverpool,61,72,87,90,72,69
C. Immobile,86,ST,Italy,Lazio,85,87,68,80,39,75
R. Lukaku,86,ST,Belgium,Inter,80,85,75,77,38,82
D. Alaba,86,CB,Austria,Real Madrid CF,79,71,83,80,85,77
R. Sterling,86,LW,England,Chelsea,90,80,78,86,45,67
R. Mahrez,86,RW,Algeria,Manchester City,80,83,81,90,38,60
P. Dybala,86,CAM,Argentina,Roma,80,85,85,90,40,59
Thiago Silva,86,CB,Brazil,Chelsea,49,54,73,72,87,76
W. Szczęsny,86,GK,Poland,Juventus,86,81,73,87,49,86
K. Trapp,86,GK,Germany,Eintracht Frankfurt,84,82,79,87,46,85
